blast_name,A_rank,B_rank,score_type,definition,ID_for_distillate
BAC0001,200,120,full,abeM;Q5FAM9_ACIBA Multidrug efflux pump AbeM OS=Acinetobacter baumannii GN=abeM PE=4 SV=2,BAC0001
BAC0479,200,120,full,adeT2;C7F8K7_ACIBA AdeT2 OS=Acinetobacter baumannii PE=4 SV=1,BAC0479
BAC0020,200,120,full,aioA/aoxB;AIOA_HERAR Arsenite oxidase subunit AioA OS=Herminiimonas arsenicoxydans GN=aioA PE=2 SV=2,BAC0020
BAC0021,200,120,full,aioB/aoxA;AIOB_HERAR Arsenite oxidase subunit AioB OS=Herminiimonas arsenicoxydans GN=aioB PE=2 SV=1,BAC0021
BAC0022,200,120,full,aioR/aoxR;Q2VGB1_RHIRD Putative transcriptional regulator OS=Rhizobium radiobacter GN=aoxR PE=4 SV=1,BAC0022
BAC0023,200,120,full,aioS/aoxS;Q2VGB2_RHIRD Putative sensor histidine kinase OS=Rhizobium radiobacter GN=aoxS PE=4 SV=1,BAC0023
BAC0024,200,120,full,aioX/aoxX;G8XNW6_RHIRD AioX (Fragment) OS=Rhizobium radiobacter GN=aioX PE=4 SV=1,BAC0024
BAC0489,200,120,full,ALU1-P;O52119_ARTVI Aluminum resistance protein (Fragment) OS=Arthrobacter viscosus GN=ALU1 PE=3 SV=1,BAC0489
BAC0025,200,120,full,amvA;C4PAW9_ACIBA Major facilitator superfamily efflux pump OS=Acinetobacter baumannii PE=4 SV=1,BAC0025
BAC0030,200,120,full,arsA;ARSA2_ECOLX Arsenical pump-driving ATPase OS=Escherichia coli GN=arsA PE=3 SV=1,BAC0030
BAC0571,200,120,full,arsA;ARSA_ACIMA Arsenical pump-driving ATPase OS=Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301) GN=arsA PE=3 SV=1,BAC0571
BAC0572,200,120,full,arsA;ARSA1_ECOLX Arsenical pump-driving ATPase OS=Escherichia coli GN=arsA PE=1 SV=1,BAC0572
BAC0031,200,120,full,arsB;ARSB1_ECOLX Arsenical pump membrane protein OS=Escherichia coli GN=arsB PE=4 SV=1,BAC0031
BAC0573,200,120,full,arsB;ARSB_BACSU Arsenite resistance protein ArsB OS=Bacillus subtilis (strain 168) GN=arsB PE=3 SV=2,BAC0573
BAC0574,200,120,full,arsB;ARSB_STAAU Arsenical pump membrane protein OS=Staphylococcus aureus GN=arsB PE=3 SV=1,BAC0574
BAC0575,200,120,full,arsB;ARSB_STAXY Arsenical pump membrane protein OS=Staphylococcus xylosus GN=arsB PE=3 SV=1,BAC0575
BAC0576,200,120,full,arsB;ARSB2_ECOLX Arsenical pump membrane protein OS=Escherichia coli GN=arsB PE=4 SV=1,BAC0576
BAC0577,200,120,full,arsB;ARSB_YEREN Arsenical pump membrane protein OS=Yersinia enterocolitica GN=arsB PE=3 SV=1,BAC0577
BAC0578,200,120,full,arsB;O50594_ACIMU ArsB OS=Acidiphilium multivorum GN=arsB PE=4 SV=1,BAC0578
BAC0579,200,120,full,arsB;Y944_SYNY3 Uncharacterized transporter slr0944 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr0944 PE=3 SV=1,BAC0579
BAC0032,200,120,full,arsC;ARSC_STAAU Protein ArsC OS=Staphylococcus aureus GN=arsC PE=1 SV=1,BAC0032
BAC0580,200,120,full,arsC;ARSC_STAXY Protein ArsC OS=Staphylococcus xylosus GN=arsC PE=3 SV=1,BAC0580
BAC0581,200,120,full,arsC;ARSC_BACSU Protein ArsC OS=Bacillus subtilis (strain 168) GN=arsC PE=1 SV=1,BAC0581
BAC0582,200,120,full,arsC;ARSC1_ECOLX Arsenate reductase OS=Escherichia coli GN=arsC PE=1 SV=1,BAC0582
BAC0583,200,120,full,arsC;ARSC2_ECOLX Arsenate reductase OS=Escherichia coli GN=arsC PE=3 SV=1,BAC0583
BAC0584,200,120,full,arsC;ARSC_ACIMA Arsenate reductase OS=Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / AIU301) GN=arsC PE=3 SV=1,BAC0584
BAC0585,200,120,full,arsC;ARSC_YEREN Arsenate reductase OS=Yersinia enterocolitica GN=arsC PE=3 SV=1,BAC0585
BAC0586,200,120,full,arsC;P74313_SYNY3 Arsenate reductase OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=arsC PE=1 SV=1,BAC0586
BAC0033,200,120,full,arsD;ARSD1_ECOLX Arsenical resistance operon trans-acting repressor ArsD OS=Escherichia coli GN=arsD PE=1 SV=2,BAC0033
BAC0587,200,120,full,arsD;ARSD2_ECOLX Arsenical resistance operon trans-acting repressor ArsD OS=Escherichia coli GN=arsD PE=4 SV=1,BAC0587
BAC0034,200,120,full,arsH;E8PS81_YERPE Arsenic resistance protein ArsH OS=Yersinia pestis Java 9 GN=arsH PE=4 SV=1,BAC0034
BAC0595,200,120,full,arsH;P74312_SYNY3 Slr0945 protein OS=Synechocystis sp. (strain PCC 6803 / Kazusa) GN=slr0945 PE=4 SV=1,BAC0595
BAC0035,200,120,full,arsM;Q6N3Y0_RHOPA UbiE/COQ5 methyltransferase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) GN=RPA3562 PE=4 SV=1,BAC0035
BAC0036,200,120,full,arsP;B5LWZ8_CAMJU ArsP OS=Campylobacter jejuni GN=arsP PE=4 SV=1,BAC0036
BAC0588,200,120,full,arsR;P74986_YEREN Arsenite inducible repressor OS=Yersinia enterocolitica GN=arsR PE=4 SV=1,BAC0588
BAC0589,200,120,full,arsR;ARSR1_ECOLX Arsenical resistance operon repressor OS=Escherichia coli GN=arsR PE=4 SV=1,BAC0589
BAC0590,200,120,full,arsR;ARSR_STAAU Arsenical resistance operon repressor OS=Staphylococcus aureus GN=arsR PE=4 SV=1,BAC0590
BAC0591,200,120,full,arsR;ARSR2_ECOLX Arsenical resistance operon repressor OS=Escherichia coli GN=arsR PE=4 SV=1,BAC0591
BAC0592,200,120,full,arsR;ARSR_STAXY Arsenical resistance operon repressor OS=Staphylococcus xylosus GN=arsR PE=4 SV=1,BAC0592
BAC0593,200,120,full,arsR;ARSR_BACSU Arsenical resistance operon repressor OS=Bacillus subtilis (strain 168) GN=arsR PE=1 SV=1,BAC0593
BAC0594,200,120,full,arsR;ARSR_ECOLI Arsenical resistance operon repressor OS=Escherichia coli (strain K12) GN=arsR PE=3 SV=1,BAC0594
BAC0038,200,120,full,asr;ASR_ECOLI Acid shock protein OS=Escherichia coli (strain K12) GN=asr PE=1 SV=3,BAC0038
BAC0039,200,120,full,baeR;BAER_ECOLI Transcriptional regulatory protein BaeR OS=Escherichia coli (strain K12) GN=baeR PE=1 SV=1,BAC0039
BAC0596,200,120,full,baeR;D0ZNE3_SALT1 DNA-binding transcriptional regulator BaeR OS=Salmonella typhimurium (strain 14028s / SGSC 2262) GN=baeR PE=4 SV=1,BAC0596
BAC0040,200,120,full,baeS;BAES_ECOLI Signal transduction histidine-protein kinase BaeS OS=Escherichia coli (strain K12) GN=baeS PE=1 SV=2,BAC0040
BAC0597,200,120,full,baeS;D0ZNE2_SALT1 Signal transduction histidine-protein kinase BaeS OS=Salmonella typhimurium (strain 14028s / SGSC 2262) GN=baeS PE=4 SV=1,BAC0597
BAC0041,200,120,full,bcr;BCR_ECOLI Bicyclomycin resistance protein OS=Escherichia coli (strain K12) GN=bcr PE=1 SV=4,BAC0041
BAC0042,200,120,full,bepC;BEPC_BRUSU Outer membrane efflux protein BepC OS=Brucella suis biovar 1 (strain 1330) GN=bepC PE=1 SV=1,BAC0042
BAC0043,200,120,full,bepD;BEPD_BRUSU Efflux pump periplasmic linker BepD OS=Brucella suis biovar 1 (strain 1330) GN=bepD PE=1 SV=1,BAC0043
BAC0044,200,120,full,bepE;BEPE_BRUSU Efflux pump membrane transporter BepE OS=Brucella suis biovar 1 (strain 1330) GN=bepE PE=1 SV=1,BAC0044
BAC0045,200,120,full,bepF;BEPF_BRUSU Efflux pump periplasmic linker BepF OS=Brucella suis biovar 1 (strain 1330) GN=bepF PE=1 SV=1,BAC0045
BAC0046,200,120,full,bepG;BEPG_BRUSU Efflux pump membrane transporter BepG OS=Brucella suis biovar 1 (strain 1330) GN=bepG PE=1 SV=1,BAC0046
BAC0047,200,120,full,bexA;Q93HR0_BACT4 BexA OS=Bacteroides thetaiotaomicron GN=bexA PE=4 SV=1,BAC0047
BAC0048,200,120,full,bfrA;BFR_MYCTU Bacterioferritin OS=Mycobacterium tuberculosis GN=bfr PE=1 SV=1,BAC0048
BAC0049,200,120,full,bhsA/ycfR/comC;BHSA_ECOLI Multiple stress resistance protein BhsA OS=Escherichia coli (strain K12) GN=bhsA PE=1 SV=1,BAC0049
BAC0050,200,120,full,blt;BMR2_BACSU Multidrug resistance protein 2 OS=Bacillus subtilis (strain 168) GN=blt PE=3 SV=1,BAC0050
BAC0051,200,120,full,bltD;BLTD_BACSU Spermine/spermidine acetyltransferase OS=Bacillus subtilis (strain 168) GN=bltD PE=1 SV=2,BAC0051
BAC0052,200,120,full,bltR;BLTR_BACSU Multidrug-efflux transporter 2 regulator OS=Bacillus subtilis (strain 168) GN=bltR PE=4 SV=1,BAC0052
BAC0053,200,120,full,bmr;BMR1_BACSU Multidrug resistance protein 1 OS=Bacillus subtilis (strain 168) GN=bmr PE=3 SV=2,BAC0053
BAC0054,200,120,full,bmrR;BMRR_BACSU Multidrug-efflux transporter 1 regulator OS=Bacillus subtilis (strain 168) GN=bmrR PE=1 SV=3,BAC0054
BAC0055,200,120,full,"cadA/yvgW;HMCT_HELPY Cadmium, zinc and cobalt-transporting ATPase OS=Helicobacter pylori (strain ATCC 700392 / 26695) GN=cadA PE=1 SV=2",BAC0055
BAC0056,200,120,full,cadC;CADC_STAAU Cadmium resistance transcriptional regulatory protein CadC OS=Staphylococcus aureus GN=cadC PE=1 SV=1,BAC0056
BAC0057,200,120,full,cadD;Q7A320_STAAN CadD OS=Staphylococcus aureus (strain N315) GN=cadD PE=4 SV=1,BAC0057
BAC0058,200,120,full,cadR;Q93TP7_PSEPU CadR OS=Pseudomonas putida GN=cadR PE=4 SV=1,BAC0058
BAC0059,200,120,full,cadX;A7LHQ4_STRSL CadX OS=Streptococcus salivarius GN=cadX PE=4 SV=1,BAC0059
BAC0060,200,120,full,cdeA;Q7WZ38_CLODI EA protein OS=Clostridium difficile GN=eA PE=4 SV=1,BAC0060
BAC0061,200,120,full,cepA;FIEF_KLEPN Cation-efflux pump FieF OS=Klebsiella pneumoniae GN=fieF PE=3 SV=1,BAC0061
BAC0062,200,120,full,ceuE;D3UGE4_HELM1 Periplasmic iron-binding protein Iron(III) ABC transporter CeuE OS=Helicobacter mustelae (strain ATCC 43772 / LMG 18044 / NCTC 12198 / 12198) GN=CeuE PE=4 SV=1,BAC0062
BAC0063,200,120,full,chrA;CHRA_PSEAI Chromate transport protein OS=Pseudomonas aeruginosa GN=chrA PE=2 SV=1,BAC0063
BAC0026,200,120,full,chrA;A4UQR4_9RHIZ Chromate transporter OS=Ochrobactrum tritici GN=chrA PE=4 SV=1,BAC0026
BAC0548,200,120,full,chrA1;CHRA1_RALME Chromate transport protein OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=chrA1 PE=2 SV=1,BAC0548
BAC0027,200,120,full,chrB;A4UQR5_9RHIZ ChrB OS=Ochrobactrum tritici GN=chrB PE=4 SV=1,BAC0027
BAC0064,200,120,full,chrB1;CHRB1_RALME Protein ChrB OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=chrB1 PE=2 SV=2,BAC0064
BAC0547,200,120,full,chrC;SODM_RALME Superoxide dismutase [Fe] OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=chrC PE=1 SV=3,BAC0547
BAC0028,200,120,full,chrC;A4UQR3_9RHIZ Superoxide dismutase OS=Ochrobactrum tritici GN=chrC PE=3 SV=1,BAC0028
BAC0065,200,120,full,"chrE;Q5NUZ8_RALME ChrE, involved in the processing of chromium-glutathione-complexes OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=chrE PE=4 SV=1",BAC0065
BAC0066,200,120,full,"chrF;Q5NUZ7_RALME ChrF, regulatory protein, involved in Chromate resistance OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=chrF PE=4 SV=1",BAC0066
BAC0029,200,120,full,chrF;A4UQR2_9RHIZ ChrF OS=Ochrobactrum tritici GN=chrF PE=4 SV=1,BAC0029
BAC0361,200,120,full,"chrI;Q1L9W3_RALME ChrI, regulatory protein, involved in Chromate resistance OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=chrI PE=4 SV=1",BAC0361
BAC0538,200,120,full,chrR;Q7BD45_PSEPU Chromate reductase OS=Pseudomonas putida GN=chrR PE=4 SV=1,BAC0538
BAC0539,200,120,full,chrR;CHRR_PSEUG CR(VI) reductase OS=Pseudomonas sp. (strain G-1) GN=chrR PE=3 SV=1,BAC0539
BAC0067,200,120,full,cinA;Q9I036_PSEAE Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228) GN=PA2807 PE=4 SV=1,BAC0067
BAC0068,200,120,full,cmeA;Q8RTE5_CAMJU CmeA OS=Campylobacter jejuni GN=cmeA PE=1 SV=1,BAC0068
BAC0613,200,120,full,cmeB;Q8RTE4_CAMJU CmeB OS=Campylobacter jejuni GN=cmeB PE=4 SV=1,BAC0613
BAC0614,200,120,full,cmeC;Q8RTE3_CAMJU CmeC OS=Campylobacter jejuni GN=cmeC PE=4 SV=1,BAC0614
BAC0615,200,120,full,cmeD;Q0P9M1_CAMJE Outer membrane component of efflux system (Multidrug efflux system CmeDEF) OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168) GN=cmeD PE=4 SV=1,BAC0615
BAC0616,200,120,full,cmeE;Q0P9M0_CAMJE Membrane fusion component of efflux system (Mutlidrug efflux system CmeDEF) OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168) GN=cmeE PE=4 SV=1,BAC0616
BAC0069,200,120,full,cmeF;Q0P9L9_CAMJE Integral membrane component of efflux system (Multidrug efflux system CmeDEF) OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168) GN=cmeF PE=4 SV=1,BAC0069
BAC0070,200,120,full,cmeR;Q7B8P6_CAMJU CmeR OS=Campylobacter jejuni GN=cmeR PE=1 SV=1,BAC0070
BAC0071,200,120,full,cmtR;CMTR_MYCTU HTH-type transcriptional regulator CmtR OS=Mycobacterium tuberculosis GN=cmtR PE=1 SV=1,BAC0071
BAC0203,200,120,full,cnrA;CNRA_RALME Nickel and cobalt resistance protein CnrA OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=cnrA PE=2 SV=2,BAC0203
BAC0542,200,120,full,cnrA;B0B0H8_9BRAD Putative RND divalent metal cation efflux transporter (Fragment) OS=Bradyrhizobium sp. STM 2465 GN=nccA-like PE=4 SV=1,BAC0542
BAC0543,200,120,full,cnrA;A9DF56_9BRAD Putative RND divalent metal cation efflux transporter (Fragment) OS=Bradyrhizobium sp. STM 2464 GN=nccA-like PE=4 SV=1,BAC0543
BAC0544,200,120,full,cnrA;A9DF42_9BRAD Putative RND divalent metal cation efflux transporter (Fragment) OS=Bradyrhizobium sp. STM 2457 GN=nccA-like PE=4 SV=1,BAC0544
BAC0545,200,120,full,cnrA;A9DF51_9BRAD Putative RND divalent metal cation efflux transporter (Fragment) OS=Bradyrhizobium sp. STM 2460 GN=nccA-like PE=4 SV=1,BAC0545
BAC0546,200,120,full,cnrA;A9DF47_9BRAD Putative RND divalent metal cation efflux transporter (Fragment) OS=Bradyrhizobium sp. STM 2458 GN=nccA-like PE=4 SV=1,BAC0546
BAC0204,200,120,full,cnrB;CNRB_RALME Nickel and cobalt resistance protein CnrB OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=cnrB PE=2 SV=1,BAC0204
BAC0072,200,120,full,cnrC;CNRC_RALME Nickel and cobalt resistance protein CnrC OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=cnrC PE=2 SV=2,BAC0072
BAC0073,200,120,full,cnrH;CNRH_RALME RNA polymerase sigma factor CnrH OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=cnrH PE=1 SV=1,BAC0073
BAC0074,200,120,full,"cnrT;Q5NUX6_RALME CnrT, Cation Diffusion Facilitator, involved in Co(II), Ni(II) resistance OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=cnrT PE=4 SV=1",BAC0074
BAC0075,200,120,full,cnrY;CNRY_RALME Nickel and cobalt resistance protein CnrY OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=cnrY PE=1 SV=2,BAC0075
BAC0076,200,120,full,comR/ycfQ;COMR_ECOLI HTH-type transcriptional repressor ComR OS=Escherichia coli (strain K12) GN=comR PE=1 SV=2,BAC0076
BAC0077,200,120,full,copA;COPA_PSEUB Copper resistance protein A OS=Pseudomonas syringae pv. tomato GN=copA PE=1 SV=1,BAC0077
BAC0078,200,120,full,copA;COPA_BACSU Copper-exporting P-type ATPase A OS=Bacillus subtilis (strain 168) GN=copA PE=1 SV=2,BAC0078
BAC0619,200,120,full,copA;Q7WYH1_PSEPU CopA OS=Pseudomonas putida GN=copA PE=4 SV=1,BAC0619
BAC0620,200,120,full,copA;COPA_ENTHA Probable copper-importing P-type ATPase A OS=Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258) GN=copA PE=1 SV=2,BAC0620
BAC0621,200,120,full,copA;F4ZBX3_XANCI CopA OS=Xanthomonas citri subsp. citri GN=copA PE=4 SV=1,BAC0621
BAC0622,200,120,full,copA;COPA_ARCFU Probable copper-exporting P-type ATPase A OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=copA PE=1 SV=1,BAC0622
BAC0623,200,120,full,copA;COPA2_HELPX Copper-transporting ATPase OS=Helicobacter pylori GN=copA PE=3 SV=1,BAC0623
BAC0624,200,120,full,copA;COPA_HELFC Copper-transporting ATPase OS=Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1) GN=copA PE=3 SV=1,BAC0624
BAC0625,200,120,full,copA;F4ZCZ9_9XANT Copper resistance protein A OS=Xanthomonas alfalfae subsp. citrumelonis GN=copA PE=4 SV=1,BAC0625
BAC0626,200,120,full,copB;COPB_PSEUB Copper resistance protein B OS=Pseudomonas syringae pv. tomato GN=copB PE=1 SV=1,BAC0626
BAC0627,200,120,full,copB;F4ZD00_9XANT Copper resistance protein B OS=Xanthomonas alfalfae subsp. citrumelonis GN=copB PE=4 SV=1,BAC0627
BAC0628,200,120,full,copB;F4ZBX4_XANCI CopB OS=Xanthomonas citri subsp. citri GN=copB PE=4 SV=1,BAC0628
BAC0629,200,120,full,copB;COPB_ARCFU Copper-exporting P-type ATPase B OS=Archaeoglobus fulgidus (strain ATCC 49558 / VC-16 / DSM 4304 / JCM 9628 / NBRC 100126) GN=copB PE=1 SV=1,BAC0629
BAC0079,200,120,full,copB;COPB_ENTHA Copper-exporting P-type ATPase B OS=Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258) GN=copB PE=1 SV=2,BAC0079
BAC0630,200,120,full,copC;COPC_PSEUB Copper resistance protein C OS=Pseudomonas syringae pv. tomato GN=copC PE=1 SV=1,BAC0630
BAC0631,200,120,full,copC;F4ZBX9_XANCI CopC OS=Xanthomonas citri subsp. citri GN=copC PE=4 SV=1,BAC0631
BAC0639,200,120,full,copC;C6FFR6_PSEFL CopC OS=Pseudomonas fluorescens GN=copC PE=4 SV=1,BAC0639
BAC0632,200,120,full,copD;COPD_PSEUB Copper resistance protein D OS=Pseudomonas syringae pv. tomato GN=copD PE=2 SV=1,BAC0632
BAC0633,200,120,full,copD;Q7WYG8_PSEPU CopD OS=Pseudomonas putida GN=copD PE=4 SV=1,BAC0633
BAC0640,200,120,full,copD;C6FFR7_PSEFL CopD OS=Pseudomonas fluorescens GN=copD PE=4 SV=1,BAC0640
BAC0080,200,120,full,copJ;Q58AE1_RALME CopJ protein OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=copJ PE=4 SV=1,BAC0080
BAC0081,200,120,full,copK;COPK_RALME Copper resistance protein K OS=Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839) GN=copK PE=1 SV=1,BAC0081
BAC0082,200,120,full,copL;Q5YKV8_9XANT CopL OS=Xanthomonas perforans GN=copL PE=4 SV=1,BAC0082
BAC0634,200,120,full,copP;COPP_HELFC COP-associated protein OS=Helicobacter felis (strain ATCC 49179 / NCTC 12436 / CS1) GN=copP PE=4 SV=1,BAC0634
BAC0635,200,120,full,copP;COPP_HELPJ COP-associated protein OS=Helicobacter pylori (strain J99 / ATCC 700824) GN=copP PE=4 SV=1,BAC0635
BAC0083,200,120,full,copR;COPR_PSEUB Transcriptional activator protein CopR OS=Pseudomonas syringae pv. tomato GN=copR PE=1 SV=1,BAC0083
BAC0638,200,120,full,copR;C6FFR4_PSEFL CopR OS=Pseudomonas fluorescens GN=copR PE=4 SV=1,BAC0638
BAC0637,200,120,full,copS;C6FFR5_PSEFL CopS OS=Pseudomonas fluorescens GN=copS PE=4 SV=1,BAC0637
BAC0537,200,120,full,copS;COPS_PSEUB Sensor protein CopS OS=Pseudomonas syringae pv. tomato GN=copS PE=3 SV=1,BAC0537
BAC0084,200,120,full,copY/tcrY;COPY_ENTHA Transcriptional repressor CopY OS=Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258) GN=copY PE=1 SV=1,BAC0084
BAC0085,200,120,full,copZ;COPZ_ENTHA Copper chaperone CopZ OS=Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258) GN=copZ PE=1 SV=1,BAC0085
BAC0086,200,120,full,corA;CORA_ECOLI Magnesium transport protein CorA OS=Escherichia coli (strain K12) GN=corA PE=1 SV=1,BAC0086
